Student,LPIPS,SSIM
112590452.png,0.0,1.0
113590056.png,0.21643096208572388,0.7262816452779649
113590044.png,0.2479923516511917,0.6707516669968925
113590052.png,0.27151817083358765,0.6450360944467505
111590047.png,0.27757149934768677,0.7218695190873378
113590045.png,0.2799355983734131,0.5820949948094772
113370239.png,0.28734663128852844,0.6634612903591741
113590051.png,0.29013749957084656,0.6708027462022101
112590040.png,0.2901984453201294,0.6005016726103596
113590022.png,0.30143827199935913,0.6289894031700378
113590062.png,0.30214470624923706,0.5576430508924813
113590031.png,0.30254003405570984,0.6501188059599362
113590026.png,0.30521950125694275,0.6877479090400286
113590015.png,0.30576813220977783,0.639514033344731
113590001.png,0.3136664628982544,0.6303703438578101
113590061.png,0.3156076669692993,0.6314686432364193
113590036.png,0.3189847767353058,0.6126063160139544
114054809.png,0.32005900144577026,0.6648696852595809
110590455.png,0.3201729655265808,0.6338608448838311
113590039.png,0.3205322027206421,0.6438724811371959
112590454.png,0.32228121161460876,0.6251703789904769
113AC1012.png,0.3224603235721588,0.6256726369963967
113590057.png,0.3277926445007324,0.6091588946238937
113AB0018.png,0.3291032612323761,0.5793068026736493
113590018.png,0.33031752705574036,0.5893901961027012
113590021.png,0.33174559473991394,0.5969070096337477
113590060.png,0.33392030000686646,0.6844726459007596
111590062.png,0.3389178216457367,0.6309032170841574
111590028.png,0.34852108359336853,0.6529437522310477
113590011.png,0.34931400418281555,0.570258394824546
113590050.png,0.35816192626953125,0.5380662483077812
113590049.png,0.36428382992744446,0.5144331001152194
113590023.png,0.36470136046409607,0.4998507502286598
113590059.png,0.37167418003082275,0.5665311599988306
113590028.png,0.3724101781845093,0.5768269913426446
112590455.png,0.37680208683013916,0.5912922467383686
113590003.png,0.3782283365726471,0.6191180371774925
113590006.png,0.387140691280365,0.5436058721613428
113590002.png,0.3926655352115631,0.5768992607901977
113590047.png,0.4247281551361084,0.6923941654094109
113590008.png,0.42558783292770386,0.4769647516731339
113590004.png,0.434757798910141,0.6874509684921457
113590010.png,0.43486717343330383,0.5866855614755249
113590042.png,0.44382721185684204,0.5488513967730161
113590043.png,0.4604407250881195,0.6982444141845864
113590025.png,0.46610960364341736,0.6961808099090299
112590058.jpg,0.47160735726356506,0.40926782291327785
111590455.png,0.4850330948829651,0.5208857049064893
111590042.png,0.49000978469848633,0.7030736852269956
